bpm,dB,dur
128,-5,198
76,-9,160
120,-9,239
149,-7,224
130,-7,235
92,-3,215
110,-9,230
96,-6,207
86,-6,266
79,-6,282
82,-6,239
113,-7,242
100,-10,234
115,-7,270
129,-5,242
120,-7,235
100,-4,201
206,-6,188
190,-7,253
120,-6,252
125,-8,206
150,-7,207
114,-6,208
94,-5,192
120,-9,208
120,-8,227
122,-4,213
146,-6,213
99,-4,236
190,-6,231
128,-4,213
100,-4,225
130,-5,215
95,-7,220
130,-5,257
121,-7,228
158,-6,295
79,-5,184
136,-5,214
83,-5,227
86,-4,193
176,-7,218
95,-5,208
120,-4,235
93,-4,222
121,-4,202
110,-4,293
91,-5,233
149,-4,199
115,-5,224
82,-5,217
139,-6,213
98,-4,229
130,-3,240
139,-5,183
192,-7,200
120,-4,199
120,-5,235
123,-5,235
124,-4,230
127,-6,245
122,-5,205
103,-5,171
120,-7,235
100,-6,211
134,-4,189
155,-7,213
106,-4,198
116,-7,233
129,-4,210
125,-11,204
114,-9,134
123,-7,242
78,-6,320
150,-4,199
122,-8,159
100,-4,264
123,-5,219
113,-6,199
123,-5,189
80,-8,230
126,-4,210
156,-6,292
100,-5,230
79,-7,250
108,-4,193
89,-6,309
123,-5,219
100,-5,203
120,-3,211
77,-6,227
127,-3,193
93,-6,285
117,-11,225
128,-4,243
124,-6,229
122,-5,186
128,-6,196
126,-5,224
120,-4,202
112,-7,273
112,-4,238
109,-5,255
202,-8,193
113,-7,242
100,-10,234
119,-5,219
160,-5,208
134,-6,196
108,-6,244
124,-3,222
130,-8,205
111,-8,192
120,-6,237
113,-6,236
105,-6,214
97,-6,230
108,-7,225
92,-6,219
150,-7,207
112,-7,251
102,-7,198
134,-5,236
100,-4,182
126,-4,246
120,-8,218
130,-6,206
118,-8,263
100,-7,227
93,-5,185
124,-6,181
108,-4,166
120,-6,218
124,-5,234
105,-6,232
90,-9,194
105,-6,236
95,-5,208
111,-7,201
142,-5,272
163,-6,215
92,-4,214
120,-5,218
102,-7,199
139,-6,213
120,-4,199
125,-5,182
125,-4,204
92,-7,236
101,-6,203
100,-6,170
87,-5,194
175,-6,216
113,-6,192
90,-5,225
98,-5,192
119,-6,251
110,-4,228
164,-8,223
120,-3,193
126,-5,203
144,-6,291
114,-5,224
94,-6,403
106,-8,238
82,-6,187
123,-7,231
122,-5,208
126,-3,225
118,-5,217
108,-5,193
130,-5,197
110,-15,310
90,-4,263
114,-5,234
112,-7,200
91,-5,192
86,-13,214
124,-6,204
121,-6,203
123,-7,250
186,-3,225
98,-10,228
0,-60,227
96,-3,234
95,-6,245
186,-7,230
83,-4,188
134,-5,207
100,-5,206
93,-6,269
148,-5,209
159,-6,226
102,-5,210
100,-7,221
140,-6,232
103,-7,248
102,-4,251
118,-8,245
120,-3,219
81,-4,289
73,-7,230
178,-4,229
192,-6,210
106,-8,222
100,-7,222
85,-6,216
104,-4,184
104,-3,231
120,-5,243
190,-5,238
100,-6,234
99,-11,273
94,-3,189
142,-5,272
90,-7,194
100,-5,211
181,-10,176
125,-6,224
105,-4,201
124,-4,192
125,-3,203
107,-4,226
106,-5,202
115,-3,208
122,-6,189
106,-6,228
135,-9,261
108,-4,205
120,-6,202
86,-7,188
122,-5,249
102,-5,236
122,-7,158
124,-6,189
102,-4,203
100,-5,218
167,-9,180
100,-4,223
110,-2,184
100,-9,264
115,-6,245
105,-10,225
113,-6,202
158,-5,223
95,-7,240
87,-4,286
120,-6,202
148,-5,282
124,-3,215
105,-4,217
136,-4,253
116,-6,209
122,-4,199
122,-6,206
97,-6,218
140,-7,211
125,-5,198
180,-7,239
100,-5,209
118,-6,238
172,-5,224
103,-4,175
142,-3,181
144,-7,204
96,-7,217
92,-4,211
110,-5,200
105,-5,217
95,-7,260
118,-4,181
88,-6,269
105,-5,189
98,-3,204
103,-8,205
100,-6,219
90,-8,193
86,-6,196
128,-6,212
100,-7,191
121,-6,215
107,-4,215
97,-7,279
129,-5,192
120,-5,341
93,-5,197
168,-6,185
140,-5,191
122,-7,164
90,-7,194
159,-6,245
105,-6,210
95,-7,220
113,-5,243
92,-5,212
104,-4,220
126,-5,191
114,-6,272
120,-6,202
145,-7,195
82,-10,304
112,-8,233
94,-4,221
100,-4,169
100,-5,186
97,-6,294
130,-4,227
77,-6,213
120,-7,226
110,-8,248
160,-5,190
130,-8,264
102,-5,182
91,-7,189
102,-9,206
110,-6,182
117,-6,191
111,-5,202
98,-6,204
127,-6,184
100,-3,214
158,-3,173
96,-3,159
104,-7,228
94,-6,183
93,-8,198
138,-5,181
99,-3,178
102,-5,220
136,-9,198
122,-4,229
100,-8,210
125,-5,148
125,-7,236
104,-6,218
93,-7,261
152,-5,162
96,-4,213
94,-3,181
104,-7,176
95,-6,206
136,-5,260
114,-6,217
150,-9,213
